Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,What is it made of? (product.metafields.custom.made_of),What size is it? (product.metafields.custom.size_specs)
green-stripe-print-kids-backpack,Green Stripe Print Hand Block-Printed Kids Backpack,"<p>Crisp green stripes turn this backpack into the one accessory a kid actually wants to grab on the way out the door.</p><p>Block-printed on green candy-stripe cotton with a teal-green tassel zip-pull, hand-quilted with a soft cotton fill for everyday cushioning.</p><p>Right-sized for preschool, playdates, or travel, it holds a snack box, water bottle, and favourite toy with room to spare — a secure zip closure and front pocket keep small essentials within easy reach.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours.</p><p>H30 x W25 x D10cm (H12 x L10 x B4in). Suits preschool to early school years (roughly 2–6), and bigger kids too.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Backpacks",Backpack,"Toddler, Kids, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,BAG-GRN-STD,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/4bp1.jpg,1,Green Stripe print hand block-printed cotton kids backpack – hero/worn,false,Green Stripe Kids Backpack | Hand Block-Print Cotton – PEXX,"Green Stripe print kids backpack in quilted cotton, hand block-printed in Jaipur. Skin-safe, azo-free dyes. H30xW25xD10cm, ages 2–6+.",,kg,,,active,"<p>Made from soft cotton, hand-quilted with a cotton fill, and dyed with azo-free colours.</p><ul><li>Fabric: cotton</li><li>Fill: hand-quilted cotton</li><li>Dyes: azo-free, skin-safe</li></ul>","<p>Sized for little shoulders, roomy enough for daily essentials — snack box, water bottle, and a favourite toy.</p><ul><li>Dimensions: H30 x W25 x D10cm (H12 x L10 x B4in)</li><li>Age fit: preschool to early school years (roughly 2–6), and comfortable on bigger kids too</li></ul>"
green-stripe-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/4bp2.jpg,2,Green Stripe print hand block-printed cotton kids backpack – 3/4 studio angle,,,,,,,,,,
green-stripe-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/4bp3.jpg,3,"Green Stripe print hand block-printed cotton kids backpack – flat front, studio",,,,,,,,,,
green-stripe-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/4bp4.jpg,4,Green Stripe print hand block-printed cotton kids backpack – additional angle,,,,,,,,,,
green-stripe-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/4bp5.jpg,5,Green Stripe print hand block-printed cotton kids backpack – additional detail,,,,,,,,,,
monkey-print-kids-backpack,Monkey Print Hand Block-Printed Kids Backpack,"<p>Cheeky monkeys swing through banana-leaf vines across this backpack — the kind of print that makes ‘time to go’ feel like an adventure.</p><p>Block-printed on pale-blue cotton with a teal tassel zip-pull, hand-quilted with a soft cotton fill for everyday cushioning.</p><p>Right-sized for preschool, playdates, or travel, it holds a snack box, water bottle, and favourite toy with room to spare — a secure zip closure and front pocket keep small essentials within easy reach.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours.</p><p>H30 x W25 x D10cm (H12 x L10 x B4in). Suits preschool to early school years (roughly 2–6), and bigger kids too.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Backpacks",Backpack,"Toddler, Kids, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,BAG-MNK-STD,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/5bp1.jpg,1,Monkey print hand block-printed cotton kids backpack – hero/worn,false,Monkey Kids Backpack | Hand Block-Print Cotton – PEXX,"Monkey print kids backpack in quilted cotton, hand block-printed in Jaipur. Skin-safe, azo-free dyes. H30xW25xD10cm, ages 2–6+.",,kg,,,active,"<p>Made from soft cotton, hand-quilted with a cotton fill, and dyed with azo-free colours.</p><ul><li>Fabric: cotton</li><li>Fill: hand-quilted cotton</li><li>Dyes: azo-free, skin-safe</li></ul>","<p>Sized for little shoulders, roomy enough for daily essentials — snack box, water bottle, and a favourite toy.</p><ul><li>Dimensions: H30 x W25 x D10cm (H12 x L10 x B4in)</li><li>Age fit: preschool to early school years (roughly 2–6), and comfortable on bigger kids too</li></ul>"
monkey-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/5bp2.jpg,2,Monkey print hand block-printed cotton kids backpack – 3/4 studio angle,,,,,,,,,,
monkey-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/5bp3.jpg,3,"Monkey print hand block-printed cotton kids backpack – flat front, studio",,,,,,,,,,
monkey-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/5bp4.jpg,4,Monkey print hand block-printed cotton kids backpack – additional angle,,,,,,,,,,
monkey-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/5bp5.jpg,5,Monkey print hand block-printed cotton kids backpack – additional detail,,,,,,,,,,
pastel-bear-print-kids-backpack,Pastel Bear Print Hand Block-Printed Kids Backpack,"<p>Soft pastel bears wander across a cream ground on this backpack — gentle enough for a toddler's first big-kid bag.</p><p>Block-printed on cream cotton with a peach tassel zip-pull, hand-quilted with a soft cotton fill for everyday cushioning.</p><p>Right-sized for preschool, playdates, or travel, it holds a snack box, water bottle, and favourite toy with room to spare — a secure zip closure and front pocket keep small essentials within easy reach.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours.</p><p>H30 x W25 x D10cm (H12 x L10 x B4in). Suits preschool to early school years (roughly 2–6), and bigger kids too.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Backpacks",Backpack,"Toddler, Kids, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,BAG-BER-STD,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/6bp1.jpg,1,Pastel Bear print hand block-printed cotton kids backpack – hero/worn,false,Pastel Bear Kids Backpack | Hand Block-Print Cotton – PEXX,"Pastel Bear print kids backpack in quilted cotton, hand block-printed in Jaipur. Skin-safe, azo-free dyes. H30xW25xD10cm, ages 2–6+.",,kg,,,active,"<p>Made from soft cotton, hand-quilted with a cotton fill, and dyed with azo-free colours.</p><ul><li>Fabric: cotton</li><li>Fill: hand-quilted cotton</li><li>Dyes: azo-free, skin-safe</li></ul>","<p>Sized for little shoulders, roomy enough for daily essentials — snack box, water bottle, and a favourite toy.</p><ul><li>Dimensions: H30 x W25 x D10cm (H12 x L10 x B4in)</li><li>Age fit: preschool to early school years (roughly 2–6), and comfortable on bigger kids too</li></ul>"
pastel-bear-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/6bp2.jpg,2,Pastel Bear print hand block-printed cotton kids backpack – 3/4 studio angle,,,,,,,,,,
pastel-bear-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/6bp3.jpg,3,"Pastel Bear print hand block-printed cotton kids backpack – flat front, studio",,,,,,,,,,
pastel-bear-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/6bp4.jpg,4,Pastel Bear print hand block-printed cotton kids backpack – additional angle,,,,,,,,,,
pastel-bear-print-kids-backpack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/6bp5.jpg,5,Pastel Bear print hand block-printed cotton kids backpack – additional detail,,,,,,,,,,
penguin-print-kids-backpack,Penguin Print Hand Block-Printed Kids Backpack,"<p>A waddle of wide-eyed penguins covers this teal backpack — instantly recognizable as *their* bag on a crowded cubby shelf.</p><p>Block-printed on teal cotton with a polka-dot handle and teal tassel zip-pull, hand-quilted with a soft cotton fill for everyday cushioning.</p><p>Right-sized for preschool, playdates, or travel, it holds a snack box in the front pocket and a water bottle in the side pocket, with room to spare for a favourite toy.</p><p>Hand block-printed in Jaipur, one motif pressed at a time — small variations in the print are the mark of genuine handwork, not a flaw. Dyed with azo-free, skin-safe colours.</p><p>H30 x W25 x D10cm (H12 x L10 x B4in). Suits preschool to early school years (roughly 2–6), and bigger kids too.</p>",PEXX,"Apparel & Accessories > Handbags, Wallets & Cases > Backpacks",Backpack,"Toddler, Kids, occ-birthday, occ-diwali",true,Title,Default Title,,,,,,,,BAG-PNG-STD,0.0,shopify,5,deny,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0743/3755/0425/files/7bp1.jpg,1,Penguin print hand block-printed cotton kids backpack – hero/worn,false,Penguin Kids Backpack | Hand Block-Print Cotton – PEXX,"Penguin print kids backpack in quilted cotton, hand block-printed in Jaipur. Skin-safe, azo-free dyes. H30xW25xD10cm, ages 2–6+.",,kg,,,active,"<p>Made from soft cotton, hand-quilted with a cotton fill, and dyed with azo-free colours.</p><ul><li>Fabric: cotton</li><li>Fill: hand-quilted cotton</li><li>Dyes: azo-free, skin-safe</li></ul>","<p>Sized for little shoulders, roomy enough for daily essentials — snack box, water bottle, and a favourite toy.</p><ul><li>Dimensions: H30 x W25 x D10cm (H12 x L10 x B4in)</li><li>Age fit: preschool to early school years (roughly 2–6), and comfortable on bigger kids too</li></ul>"
